manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,price_usd
Peugeot,406,mechanical,silver,240000,2002,gasoline,FALSE,gasoline,2,universal,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,91,4000
Renault,Laguna,mechanical,silver,280000,2003,gasoline,FALSE,gasoline,2,liftback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11,3800
Renault,Logan,mechanical,white,180000,2017,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,6300
ВАЗ,21214,mechanical,blue,298472,2011,gasoline,FALSE,gasoline,1.7,suv,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,1754.72
Skoda,Octavia,mechanical,white,230000,2011,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,60,6900
BMW,750,automatic,black,440000,1995,gasoline,FALSE,gasoline,5.4,sedan,FALSE,owned,rear,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,98,5000
Volvo,S70,mechanical,black,450000,1997,diesel,FALSE,diesel,2.5,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,92,3600
Kia,Rio,mechanical,black,80000,2014,gasoline,FALSE,gasoline,1.4,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,214,8950
Ford,Escort,mechanical,blue,320000,1995,gasoline,FALSE,gasoline,1.4,universal,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,1350
Audi,A4,automatic,silver,250000,2005,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,53,7100
BMW,525,mechanical,black,340149,1999,diesel,FALSE,diesel,2.5,sedan,FALSE,owned,rear,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,62,4150
Volkswagen,T4 Caravelle,mechanical,other,450000,1994,gasoline,FALSE,gasoline,2,minibus,FALSE,owned,front,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,243,5000
Mazda,6,mechanical,silver,156000,2008,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,670,7000
Opel,Vivaro,mechanical,white,540000,2004,diesel,FALSE,diesel,1.9,minibus,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,92,7500
Audi,A6,mechanical,blue,398000,2000,gasoline,FALSE,gasoline,2.8,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,76,4800
Fiat,Ulysse,mechanical,silver,290000,2000,diesel,FALSE,diesel,2,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,175,3990
Fiat,Grande Punto,mechanical,black,200000,2006,gasoline,FALSE,gasoline,1.2,hatchback,FALSE,owned,front,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,85,4600
BMW,530,automatic,black,357000,2003,diesel,FALSE,diesel,3,sedan,FALSE,owned,rear,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,70,9200
Skoda,Fabia,mechanical,white,120000,2009,gasoline,FALSE,gasoline,1.2,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,179,4500
Volkswagen,Passat,mechanical,black,127500,2009,gasoline,FALSE,gasoline,1.4,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,111,8061.74
Audi,A6,automatic,grey,270000,2004,diesel,FALSE,diesel,2.5,sedan,FALSE,owned,front,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,5150
Chrysler,Pacifica,automatic,green,277000,2007,gas,TRUE,gasoline,4,minivan,FALSE,owned,all,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,56,9000
Mazda,6,automatic,black,123820,2014,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,14999
Renault,Scenic,mechanical,blue,356643,1997,gasoline,FALSE,gasoline,2,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,1800
Hyundai,Lantra,mechanical,silver,240000,1999,diesel,FALSE,diesel,1.9,universal,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,21,1700
Volkswagen,Polo,automatic,brown,103000,2017,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,43,10500
Volkswagen,Golf,mechanical,blue,230000,2011,gasoline,FALSE,gasoline,1.4,universal,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,61,8400
Toyota,Camry,automatic,black,176857,2010,gasoline,FALSE,gasoline,2.5,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,38,11050
Volkswagen,T4,mechanical,white,500000,1991,diesel,FALSE,diesel,1.9,minibus,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,2600
Peugeot,406,mechanical,other,315000,2000,diesel,FALSE,diesel,2,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,3700
Audi,A6,automatic,white,123000,2012,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,57,12999
Kia,Sorento,automatic,other,310000,2005,diesel,FALSE,diesel,2.5,suv,FALSE,owned,all,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,88,6700
Honda,Civic,automatic,silver,196000,2009,hybrid-petrol,FALSE,gasoline,1.3,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,27,6500
BMW,320,automatic,black,11000,2019,diesel,FALSE,diesel,2,sedan,FALSE,owned,all,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,42800
Ford,B-Max,mechanical,white,85000,2017,diesel,FALSE,diesel,1.5,minivan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,74,14250
Mazda,626,mechanical,blue,336000,1996,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,26,1350
Honda,Accord,automatic,silver,350000,2002,gasoline,FALSE,gasoline,3,coupe,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,119,5500
Mercedes-Benz,E200,mechanical,other,320000,2001,diesel,FALSE,diesel,2.2,sedan,FALSE,owned,rear,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,211,5700
Mitsubishi,Space Star,mechanical,blue,321000,1999,gasoline,FALSE,gasoline,1.3,minivan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113,1892.25
Kia,Sephia,mechanical,red,294000,1995,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,108,300
Opel,Astra,mechanical,silver,250000,2004,diesel,FALSE,diesel,2,universal,FALSE,owned,front,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,3500
Audi,Q7,automatic,white,105000,2014,diesel,FALSE,diesel,3,suv,FALSE,owned,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,216,32200
Kia,Cee'd,mechanical,blue,156000,2007,gasoline,FALSE,gasoline,1.4,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,5600
Mercedes-Benz,E300,mechanical,white,289567,1986,gasoline,FALSE,gasoline,3,sedan,FALSE,owned,rear,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,149,800
Volkswagen,Golf,mechanical,green,353000,1995,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1700
Skoda,Rapid,automatic,red,0,2019,gasoline,FALSE,gasoline,1.6,sedan,TRUE,new,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,18776.43
Toyota,Highlander,automatic,silver,241402,2004,gasoline,FALSE,gasoline,2.4,suv,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9500
BMW,Z4,automatic,black,145000,2002,gasoline,FALSE,gasoline,2.5,cabriolet,FALSE,owned,rear,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,91,9800
Mitsubishi,Lancer,mechanical,red,800000,1996,gasoline,FALSE,gasoline,1.3,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,2500
Mitsubishi,Galant,mechanical,green,236000,1996,diesel,FALSE,diesel,2,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,890
Opel,Agila,mechanical,white,300000,2004,gasoline,FALSE,gasoline,1,minivan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,2400
Renault,Scenic,mechanical,white,334564,1999,diesel,FALSE,diesel,1.9,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,3200
Mazda,6,automatic,black,218000,2005,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,103,4400
Volvo,440,mechanical,green,4200,1997,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,600
Honda,CR-V,mechanical,silver,211500,2005,diesel,FALSE,diesel,2.2,suv,FALSE,owned,all,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,207,9000
Volkswagen,Passat,automatic,brown,170000,2013,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89,12500
Fiat,Marea,mechanical,green,300000,1997,diesel,FALSE,diesel,1.9,universal,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,700
Ford,Focus,automatic,grey,80000,2013,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,121,8500
Honda,Element,automatic,silver,244620,2003,gas,TRUE,gasoline,2.4,suv,FALSE,owned,all,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,558,7066.3
Opel,Zafira,mechanical,silver,400000,1999,diesel,FALSE,diesel,2,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,39,3000
Renault,Clio,mechanical,red,192000,2000,gasoline,FALSE,gasoline,1.4,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1350
Kia,Joice,mechanical,silver,249300,2001,gas,TRUE,gasoline,2,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,3399
Rover,400-Series,mechanical,green,246000,1999,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,38,1800
Volkswagen,Jetta,mechanical,brown,130000,2014,gas,TRUE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,88,11300
Fiat,Tempra,mechanical,other,330339,1991,gasoline,FALSE,gasoline,1.6,universal,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,500
BMW,X5,automatic,silver,350000,2000,gasoline,FALSE,gasoline,4.4,suv,FALSE,owned,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54,6000
BMW,525,mechanical,black,6666,1985,gasoline,FALSE,gasoline,2.5,sedan,FALSE,owned,rear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,13,1000
Toyota,Land Cruiser,automatic,black,142000,2011,gasoline,FALSE,gasoline,2.7,suv,FALSE,owned,all,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,111,23000
Chrysler,Voyager,mechanical,green,300000,1998,gas,TRUE,gasoline,2.4,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,215,1450
Chevrolet,Aveo,mechanical,blue,88000,2012,gas,TRUE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,75,6800
Kia,Carens,mechanical,blue,313000,2003,diesel,FALSE,diesel,2,minivan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,4399
Skoda,Superb,mechanical,grey,117500,2013,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,14,15000
Peugeot,207,mechanical,blue,145000,2007,gasoline,FALSE,gasoline,1.4,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28,5600
Ford,Focus,mechanical,silver,170000,2012,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,206,8250
Nissan,Maxima,mechanical,white,300000,1996,gasoline,FALSE,gasoline,3,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,74,2100
Volkswagen,Passat,mechanical,other,350000,1989,gasoline,FALSE,gasoline,1.8,universal,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,900
Opel,Insignia,automatic,white,270000,2010,diesel,FALSE,diesel,2,universal,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74,10765.44
Mercedes-Benz,C63AMG,automatic,black,76000,2013,gasoline,FALSE,gasoline,6.2,coupe,FALSE,owned,rear,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,151,29000
Opel,Vectra,mechanical,red,340000,1997,diesel,FALSE,diesel,2,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,40,2500
Mazda,626,mechanical,green,465000,1993,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,999
Fiat,Palio,mechanical,silver,222222,1998,gasoline,FALSE,gasoline,1.2,universal,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,750
Ford,S-Max,mechanical,silver,158500,2016,diesel,FALSE,diesel,2,minivan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,116,18400
Lifan,X50,automatic,blue,60000,2016,gasoline,FALSE,gasoline,1.5,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,61,6100
BMW,525,automatic,silver,321000,2001,diesel,FALSE,diesel,2.5,sedan,FALSE,owned,rear,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,43,5500
BMW,528,automatic,blue,223000,1996,gasoline,FALSE,gasoline,2.8,sedan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,77,3800
BMW,318,mechanical,silver,217013,1998,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,rear,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,67,3700
Renault,Trafic,mechanical,red,290000,1999,diesel,FALSE,diesel,1.9,minibus,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,2845.49
Audi,A8,mechanical,silver,235000,1998,gasoline,FALSE,gasoline,2.8,sedan,FALSE,owned,all,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,118,5200
Ford,Mondeo,mechanical,other,276000,1994,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11,800
Kia,Sorento,automatic,black,167000,2010,gasoline,FALSE,gasoline,2.4,suv,FALSE,owned,front,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,84,11000
Ford,Escort,mechanical,black,250000,1996,gasoline,FALSE,gasoline,1.3,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,890
Mazda,E2200,mechanical,white,300000,1994,diesel,FALSE,diesel,2.2,minibus,FALSE,owned,rear,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,2000
BMW,X6,automatic,silver,236500,2008,gasoline,FALSE,gasoline,3,suv,FALSE,owned,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32,14999
Mercedes-Benz,A150,mechanical,black,188000,2007,gasoline,FALSE,gasoline,1.5,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,41,4742.47
Opel,Calibra,mechanical,red,374470,1990,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,640.24
LADA,Granta,mechanical,silver,49000,2013,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,87,5600
Audi,A6,mechanical,silver,310000,2005,gasoline,FALSE,gasoline,2.4,universal,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,8000
