manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,price_usd,name
Land Rover,Range Rover Sport,automatic,white,91180,2013,diesel,False,diesel,3.0,suv,False,owned,all,True,False,False,False,False,False,False,False,False,False,46.0,47250.0,Land Rover Range Rover Sport
Jeep,Wrangler,mechanical,grey,0,2016,diesel,False,diesel,2.8,suv,False,new,all,False,True,False,False,False,False,False,True,True,True,252.0,43000.0,Jeep Wrangler
Mercedes-Benz,E220,automatic,black,67711,2017,diesel,False,diesel,2.0,sedan,False,owned,all,False,True,True,True,False,True,False,True,True,True,97.0,38410.51,Mercedes-Benz E220
Mazda,CX-9,automatic,grey,14000,2018,gasoline,False,gasoline,2.5,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,123.0,39457.46,Mazda CX-9
Porsche,Macan,automatic,black,81500,2016,diesel,False,diesel,3.0,suv,False,owned,all,False,True,True,True,True,True,False,True,True,True,355.0,47900.0,Porsche Macan
BMW,X6,automatic,white,140000,2015,diesel,False,diesel,3.0,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,31.0,41750.0,BMW X6
Mercedes-Benz,V250,automatic,grey,136900,2015,diesel,False,diesel,2.2,minivan,False,owned,all,False,True,False,True,True,True,True,True,True,True,89.0,45000.0,Mercedes-Benz V250
Audi,Q7,automatic,brown,100000,2014,diesel,False,diesel,3.0,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,480.0,46000.0,Audi Q7
Mercedes-Benz,GL500,automatic,silver,46000,2013,gasoline,False,gasoline,4.7,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,140.0,41850.0,Mercedes-Benz GL500
Mini,Countryman,automatic,grey,0,2018,gasoline,False,gasoline,1.5,suv,False,new,all,False,True,False,True,False,True,False,True,True,True,66.0,39456.08,Mini Countryman
Skoda,Kodiaq,automatic,green,0,2019,gasoline,False,gasoline,2.0,suv,True,new,all,True,False,False,False,False,False,False,False,False,False,26.0,39272.5,Skoda Kodiaq
Skoda,Kodiaq,automatic,blue,0,2019,gasoline,False,gasoline,2.0,suv,True,new,all,True,False,False,False,False,False,False,False,False,False,26.0,39279.62,Skoda Kodiaq
Skoda,Kodiaq,automatic,white,0,2019,gasoline,False,gasoline,2.0,suv,True,new,all,True,False,False,False,False,False,False,False,False,False,26.0,39954.47,Skoda Kodiaq
Ford,Edge,automatic,red,31000,2018,gasoline,False,gasoline,2.0,suv,False,owned,front,False,True,True,True,True,True,True,True,True,True,169.0,41000.0,Ford Edge
Toyota,Land Cruiser,automatic,black,101000,2016,diesel,False,diesel,2.8,suv,False,owned,all,False,True,True,True,True,True,False,True,True,True,64.0,38000.0,Toyota Land Cruiser
Nissan,Murano,automatic,white,13000,2018,gasoline,False,gasoline,3.5,suv,False,owned,all,False,True,False,True,True,True,True,True,True,True,57.0,39000.0,Nissan Murano
Skoda,Kodiaq,automatic,white,0,2019,gasoline,False,gasoline,2.0,suv,True,new,all,True,False,False,False,False,False,False,False,False,False,26.0,38928.67,Skoda Kodiaq
Skoda,Kodiaq,automatic,brown,0,2019,gasoline,False,gasoline,2.0,suv,True,new,all,True,False,False,False,False,False,False,False,False,False,26.0,39288.15,Skoda Kodiaq
BMW,X6,automatic,red,127000,2015,diesel,False,diesel,3.0,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,95.0,45500.0,BMW X6
BMW,X6,automatic,black,53000,2015,gasoline,False,gasoline,3.0,coupe,False,owned,all,False,True,False,True,True,True,True,True,True,True,225.0,42000.0,BMW X6
Land Rover,Discovery Sport,automatic,orange,13050,2018,diesel,False,diesel,2.0,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,20.0,46700.0,Land Rover Discovery Sport
Mercedes-Benz,GLC250,automatic,grey,26581,2016,gasoline,False,gasoline,2.0,suv,False,owned,all,False,True,True,True,False,True,False,True,True,True,95.0,47325.28,Mercedes-Benz GLC250
Lexus,RX,automatic,blue,68000,2016,gasoline,False,gasoline,2.0,suv,False,owned,all,False,True,True,True,True,True,True,True,True,True,141.0,45293.56,Lexus RX
